name,cost,description,image,code,rating,availability
NIVEA crema corporal nutritiva piel muy seca botella 500 ml, 4.94,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODEyOHxpbWFnZS9wbmd8aGExL2g1Ny84ODM0MzIzODQxMDU0LnBuZ3w0MzQ3MDAwYTRjNDczYTAyMDgyYmExMjFiYTE3YTYwN2NhYWE2NjFmYjZlNDMzMWVjYTZhYTA4MWQyYzk3MjBl.png,14,null,1
COLGATE cepillo dental max white blister 2 unidades, 2.81,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTE5OTd8aW1hZ2UvcG5nfGg1Zi9oNzkvODgzMzQxMDMwMTk4Mi5wbmd8NTc2MDcwZTFjZTI0NmUwMDMwOWY3ODQ2YmUzYWE1N2E2NTRmNTY0NzcwYTMwNmQzNzA4Y2VlMDZlM2I0NTIwNw.png,15,null,1
NIVEA crema corporal aceite de oliva frasco 400ml, 3.07,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODcwM3xpbWFnZS9wbmd8aGVlL2hhNC84ODMzNDE5NjA4MDk0LnBuZ3wyMWQzOTcyODgzMmMyYWJmNzQzNmJlZTYwOGMxYWRmMmExOGRkNmRjYzAyM2UzY2FiOTNjNTdkYWU3MGQ3YjM1.png,16,null,1
GILLETTE Blue II maquinilla desechable 2 hojas bolsa 15 unidades + 5 gratis, 8.13,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MjE0Njh8aW1hZ2UvcG5nfGhjZi9oZTQvODgzNTIyNTIyMzE5OC5wbmd8YTBkNTUyMzA1ODQzOWUyZDc5NDU4MmExYWNjMDI2NzZkNmQyNzBhOWI3Mjk3MGJjODI5NjFiMDU4MzM5Njc0MQ.png,17,null,1
COLGATE pasta dentifrica triple accion pack 2 tubo 75ml, 2.82,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTQ2MTZ8aW1hZ2UvcG5nfGg1Yy9oZTcvODgzNTYwOTg1Mzk4Mi5wbmd8NWJmMTk0ZTkzNmRjZjlkYjhmOGI1NjM3MjRkYjgyZjBhYThkNjQ4NTA2NWNjNDBiNjVkNmM1NmIxOTQ1ZDU1ZQ.png,18,null,1
NIVEA men desodorante dry impact spray 200 ml, 3.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODMyMnxpbWFnZS9wbmd8aGE4L2hmMC84ODM0NzAxNDU5NDg2LnBuZ3wzNzdjMjY0NDI0M2QzZTM5ZTRlNmM4ZDQzNzU1N2YwZDExNzA3Mjk1OWMxNmZhMDFhZjcyZDBiODlhODBjNDI1.png,19,null,1
NIVEA desodorante dry comfort unisex spray 200ml, 3.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8NjIzMHxpbWFnZS9wbmd8aDEzL2g1OC84ODMzNjM0MDA5MTE4LnBuZ3xkYzI5N2YyZDg0ZmU5OWNkMWI3OTU1ZTUwNzdiOGY2ZDRjNmQ4MjY1OThkMTE2ODRiZTM4MTE3MjA4ZTY3ODE0.png,20,null,1
GILlETTE fusion power cargador de cuchillas blister 4 ud, 15.99,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MjQzODR8aW1hZ2UvcG5nfGgyNS9oZmQvODgzMzk0NTYzMjc5OC5wbmd8NTZjZDQ1YTgwNWMzMWNhYmUxNDYwNTAxN2M4NWMwYjIyODhlNDA5ZWViZjA0NDFjNmIxNGRjZDZkY2E1NzI1MA.png,21,null,1
GILLETTE FUSION recambio de maquinilla 5 hojas estuche 4 unidades, 14.56,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MjIwMDl8aW1hZ2UvcG5nfGg5My9oOTEvODgzNDYyODkxMTEzNC5wbmd8YzVjOGU5ZWJkNjIyMjE0NjJkYTExMTMwYTEwNmNjYjU4OTkxNjI2YzBhNTdjZTExZTE5OWRlNWFlYTg4YzUxZg.png,22,null,1
COLGATE pasta dentrifica blanqueante tubo 75ml, 1.79,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8OTcwOXxpbWFnZS9wbmd8aDAwL2hhNi84ODM0Mjc3NzAzNzEwLnBuZ3wzN2ZlZWM3MDE2MGZmYTNhN2RhMTA3YTljYWVhZTQ2MDI4YTQ3NzE3OTM4NTUyMTkyZjg5M2ZkOGYzYWExNDFh.png,23,null,1
